text,label
I loved this movie,1
This film was amazing,1
What a great experience,1
I am very happy with this product,1
This was fantastic,1
Absolutely wonderful service,1
I really enjoyed the experience,1
The product works perfectly,1
This is one of the best things I bought,1
The support team was very helpful,1
I hated this movie,0
This was terrible,0
Very disappointing experience,0
I am unhappy with this product,0
This film was awful,0
The service was really bad,0
I regret buying this,0
This was a waste of money,0
Very poor quality,0
The experience was frustrating,0